filename,model,prompt_type,dataset,experiment_type,total_samples,f1_score,fallback_used_count,prompted_again_count,number_tries_mean,number_tries_median,source_target,dest_target,phase
llama3_8b_cot_knowledge_few_shot_src-dt_dst-hc_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,295,0.4024,0,0,1.0,1.0,dt,hc,phase3
llama3_8b_few_shot_src-dt_dst-hc_results.csv,llama3_8b,few_shot,semeval,cross_target,295,0.3789,0,0,1.0,1.0,dt,hc,phase3
llama3_8b_cot_knowledge_src-dt_dst-hc_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,295,0.2221,0,0,1.0,1.0,dt,hc,phase3
llama3_8b_knowledge_infused_src-dt_dst-hc_results.csv,llama3_8b,knowledge_infused,semeval,cross_target,295,0.1932,0,0,1.0,1.0,dt,hc,phase3
llama3_8b_few_shot_src-fm_dst-la_results.csv,llama3_8b,few_shot,semeval,cross_target,280,0.4403,0,0,1.0,1.0,fm,la,phase3
llama3_8b_cot_knowledge_few_shot_src-fm_dst-la_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,280,0.4493,0,1,1.0035714285714286,1.0,fm,la,phase3
llama3_8b_knowledge_infused_src-hc_dst-dt_results.csv,llama3_8b,knowledge_infused,semeval,cross_target,177,0.3737,0,0,1.0,1.0,hc,dt,phase3
llama3_8b_cot_knowledge_few_shot_src-hc_dst-dt_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,177,0.5078,0,0,1.0,1.0,hc,dt,phase3
llama3_8b_cot_knowledge_src-la_dst-fm_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,285,0.3421,0,0,1.0,1.0,la,fm,phase3
llama3_8b_few_shot_src-la_dst-fm_results.csv,llama3_8b,few_shot,semeval,cross_target,285,0.3467,0,0,1.0,1.0,la,fm,phase3
llama3_8b_cot_knowledge_src-fm_dst-la_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,280,0.489,0,0,1.0,1.0,fm,la,phase3
llama3_8b_cot_knowledge_src-hc_dst-dt_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,177,0.4081,0,0,1.0,1.0,hc,dt,phase3
llama3_8b_knowledge_infused_src-fm_dst-la_results.csv,llama3_8b,knowledge_infused,semeval,cross_target,280,0.4628,0,0,1.0,1.0,fm,la,phase3
llama3_8b_few_shot_src-hc_dst-dt_results.csv,llama3_8b,few_shot,semeval,cross_target,177,0.5249,0,0,1.0,1.0,hc,dt,phase3
llama3_8b_knowledge_infused_src-la_dst-fm_results.csv,llama3_8b,knowledge_infused,semeval,cross_target,285,0.3697,0,0,1.0,1.0,la,fm,phase3
llama3_8b_cot_knowledge_few_shot_src-la_dst-fm_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,285,0.2947,0,0,1.0,1.0,la,fm,phase3
llama3_8b_few_shot_src-hlt_dst-ent_results.csv,llama3_8b,few_shot,wtwt,cross_target,3714,0.1824,0,0,1.0,1.0,hlt,ent,phase3
llama3_8b_cot_knowledge_few_shot_src-hlt_dst-ent_results.csv,llama3_8b,cot_knowledge_few_shot,wtwt,cross_target,3714,0.1569,0,0,1.0,1.0,hlt,ent,phase3
llama3_8b_cot_knowledge_src-hlt_dst-ent_results.csv,llama3_8b,cot_knowledge,wtwt,cross_target,3714,0.1515,0,0,1.0,1.0,hlt,ent,phase3
llama3_8b_knowledge_infused_src-hlt_dst-ent_results.csv,llama3_8b,knowledge_infused,wtwt,cross_target,3714,0.1506,0,0,1.0,1.0,hlt,ent,phase3
llama3_8b_knowledge_infused_src-ent_dst-hlt_results.csv,llama3_8b,knowledge_infused,wtwt,cross_target,7367,0.1449,0,0,1.0,1.0,ent,hlt,phase3
llama3_8b_few_shot_src-ent_dst-hlt_results.csv,llama3_8b,few_shot,wtwt,cross_target,7367,0.1311,0,0,1.0,1.0,ent,hlt,phase3
llama3_8b_cot_knowledge_src-ent_dst-hlt_results.csv,llama3_8b,cot_knowledge,wtwt,cross_target,7367,0.1633,0,0,1.0,1.0,ent,hlt,phase3
llama3_8b_cot_knowledge_few_shot_src-ent_dst-hlt_results.csv,llama3_8b,cot_knowledge_few_shot,wtwt,cross_target,7367,0.1312,0,0,1.0,1.0,ent,hlt,phase3
mistral_24b_cot_knowledge_src-dt_dst-hc_results.csv,mistral_24b,cot_knowledge,semeval,cross_target,295,0.295,0,0,1.0,1.0,dt,hc,phase3
mistral_24b_cot_knowledge_src-hc_dst-dt_results.csv,mistral_24b,cot_knowledge,semeval,cross_target,177,0.2627,0,0,1.0,1.0,hc,dt,phase3
mistral_24b_cot_knowledge_src-fm_dst-la_results.csv,mistral_24b,cot_knowledge,semeval,cross_target,280,0.5409,0,0,1.0,1.0,fm,la,phase3
mistral_24b_cot_knowledge_src-la_dst-fm_results.csv,mistral_24b,cot_knowledge,semeval,cross_target,285,0.2492,0,0,1.0,1.0,la,fm,phase3
mistral_24b_cot_knowledge_few_shot_src-dt_dst-hc_results.csv,mistral_24b,cot_knowledge_few_shot,semeval,cross_target,295,0.3122,0,0,1.0,1.0,dt,hc,phase3
mistral_24b_cot_knowledge_few_shot_src-fm_dst-la_results.csv,mistral_24b,cot_knowledge_few_shot,semeval,cross_target,280,0.4637,0,0,1.0,1.0,fm,la,phase3
mistral_24b_cot_knowledge_few_shot_src-hc_dst-dt_results.csv,mistral_24b,cot_knowledge_few_shot,semeval,cross_target,177,0.2861,0,0,1.0,1.0,hc,dt,phase3
