filename,model,prompt_type,dataset,experiment_type,total_samples,f1_score,fallback_used_count,prompted_again_count,number_tries_mean,number_tries_median,source_target,dest_target,phase
llama3_8b_cot_knowledge_few_shot_src-dt_dst-hc_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,295,0.559,0,0,1.0,1.0,dt,hc,phase1
llama3_8b_cot_knowledge_few_shot_src-hc_dst-dt_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,177,0.5115,0,0,1.0,1.0,hc,dt,phase1
llama3_8b_cot_knowledge_few_shot_src-fm_dst-la_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,280,0.4922,0,0,1.0,1.0,fm,la,phase1
llama3_8b_cot_knowledge_few_shot_src-la_dst-fm_results.csv,llama3_8b,cot_knowledge_few_shot,semeval,cross_target,285,0.5684,0,0,1.0,1.0,la,fm,phase1
llama3_8b_knowledge_infused_src-ent_dst-hlt_results.csv,llama3_8b,knowledge_infused,wtwt,cross_target,7367,0.2463,0,0,1.0,1.0,ent,hlt,phase1
llama3_8b_cot_knowledge_src-dt_dst-hc_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,295,0.5175,0,2,1.006779661016949,1.0,dt,hc,phase1
llama3_8b_cot_knowledge_src-hc_dst-dt_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,177,0.4928,0,5,1.0282485875706215,1.0,hc,dt,phase1
llama3_8b_cot_knowledge_src-fm_dst-la_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,280,0.5313,0,3,1.0107142857142857,1.0,fm,la,phase1
llama3_8b_cot_knowledge_src-la_dst-fm_results.csv,llama3_8b,cot_knowledge,semeval,cross_target,285,0.5488,0,4,1.0140350877192983,1.0,la,fm,phase1
llama3_8b_few_shot_src-dt_dst-hc_results.csv,llama3_8b,few_shot,semeval,cross_target,295,0.5476,0,0,1.0,1.0,dt,hc,phase1
llama3_8b_few_shot_src-hc_dst-dt_results.csv,llama3_8b,few_shot,semeval,cross_target,177,0.564,0,0,1.0,1.0,hc,dt,phase1
llama3_8b_few_shot_src-fm_dst-la_results.csv,llama3_8b,few_shot,semeval,cross_target,280,0.4518,0,0,1.0,1.0,fm,la,phase1
llama3_8b_few_shot_src-la_dst-fm_results.csv,llama3_8b,few_shot,semeval,cross_target,285,0.6243,0,0,1.0,1.0,la,fm,phase1
llama3_8b_few_shot_src-ent_dst-hlt_results.csv,llama3_8b,few_shot,wtwt,cross_target,7367,0.3003,0,0,1.0,1.0,ent,hlt,phase1
