filename,model,prompt_type,dataset,experiment_type,total_samples,f1_score,fallback_used_count,prompted_again_count,number_tries_mean,number_tries_median,target,phase
mistral_7b_cot_target-at_dataset-semeval_type-test_results.csv,mistral_7b,cot,semeval,in_target,220,0.6208,0,0,1.0,1.0,at,phase3
mistral_7b_few_shot_target-at_dataset-semeval_type-test_results.csv,mistral_7b,few_shot,semeval,in_target,220,0.7103,0,0,1.0,1.0,at,phase3
mistral_7b_vanilla_target-at_dataset-semeval_type-test_results.csv,mistral_7b,vanilla,semeval,in_target,220,0.5695,0,0,1.0,1.0,at,phase3
mistral_7b_knowledge_infused_target-at_dataset-semeval_type-test_results.csv,mistral_7b,knowledge_infused,semeval,in_target,220,0.6081,0,0,1.0,1.0,at,phase3
mistral_7b_cot_knowledge_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge,pstance,in_target,635,0.8038,0,0,1.0,1.0,bernie,phase3
mistral_7b_cot_knowledge_few_shot_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,pstance,in_target,635,0.8278,0,0,1.0,1.0,bernie,phase3
mistral_7b_few_shot_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,few_shot,pstance,in_target,635,0.8112,0,0,1.0,1.0,bernie,phase3
mistral_7b_cot_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,cot,pstance,in_target,635,0.8235,0,0,1.0,1.0,bernie,phase3
mistral_7b_knowledge_infused_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,knowledge_infused,pstance,in_target,635,0.8304,0,0,1.0,1.0,bernie,phase3
mistral_7b_cot_knowledge_few_shot_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,169,0.8452,0,0,1.0,1.0,cc,phase3
mistral_7b_vanilla_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,vanilla,pstance,in_target,635,0.8298,0,0,1.0,1.0,bernie,phase3
mistral_7b_cot_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,cot,semeval,in_target,169,0.9083,0,1,1.0059171597633136,1.0,cc,phase3
mistral_7b_cot_knowledge_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge,semeval,in_target,169,0.8317,0,1,1.0059171597633136,1.0,cc,phase3
mistral_7b_few_shot_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,few_shot,semeval,in_target,169,0.8453,0,0,1.0,1.0,cc,phase3
