filename,model,prompt_type,dataset,experiment_type,total_samples,f1_score,fallback_used_count,prompted_again_count,number_tries_mean,number_tries_median,target,phase
mistral_7b_cot_knowledge_target-fauci_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge,covid,in_target,200,0.575,0,0,1.0,1.0,fauci,phase1
mistral_7b_cot_knowledge_target-at_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge,semeval,in_target,220,0.1311,0,0,1.0,1.0,at,phase1
mistral_7b_cot_knowledge_few_shot_target-hc_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,295,0.6894,0,0,1.0,1.0,hc,phase1
mistral_7b_cot_knowledge_few_shot_target-school_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,covid,in_target,200,0.4328,0,0,1.0,1.0,school,phase1
mistral_7b_cot_knowledge_target-face_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge,covid,in_target,200,0.5218,0,0,1.0,1.0,face,phase1
mistral_7b_cot_knowledge_few_shot_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,169,0.5715,0,0,1.0,1.0,cc,phase1
mistral_7b_cot_knowledge_few_shot_target-at_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,220,0.4117,0,1,1.0045454545454546,1.0,at,phase1
mistral_7b_cot_knowledge_few_shot_target-dt_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,177,0.6212,0,0,1.0,1.0,dt,phase1
mistral_7b_cot_knowledge_few_shot_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,pstance,in_target,635,0.7649,13,45,1.0503937007874016,1.0,bernie,phase1
mistral_7b_cot_knowledge_few_shot_target-face_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,covid,in_target,200,0.6356,0,0,1.0,1.0,face,phase1
mistral_7b_cot_knowledge_few_shot_target-fm_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,semeval,in_target,285,0.6839,0,0,1.0,1.0,fm,phase1
mistral_7b_cot_knowledge_few_shot_target-fauci_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,covid,in_target,200,0.5639,0,0,1.0,1.0,fauci,phase1
mistral_7b_cot_knowledge_few_shot_target-stay_dataset-covid_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,covid,in_target,200,0.6808,0,0,1.0,1.0,stay,phase1
mistral_7b_cot_knowledge_few_shot_target-dtp_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge_few_shot,pstance,in_target,777,0.7336,1,19,1.0244530244530246,1.0,dtp,phase1
mistral_7b_cot_knowledge_target-cc_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge,semeval,in_target,169,0.3874,0,0,1.0,1.0,cc,phase1
mistral_7b_cot_knowledge_target-bernie_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge,pstance,in_target,635,0.7549,1,18,1.0267716535433071,1.0,bernie,phase1
mistral_7b_cot_knowledge_target-dtp_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge,pstance,in_target,777,0.7004,1,9,1.0102960102960103,1.0,dtp,phase1
mistral_7b_cot_knowledge_target-la_dataset-semeval_type-test_results.csv,mistral_7b,cot_knowledge,semeval,in_target,280,0.5137,0,0,1.0,1.0,la,phase1
mistral_7b_cot_knowledge_target-joe_dataset-pstance_type-test_results.csv,mistral_7b,cot_knowledge,pstance,in_target,745,0.8091,12,30,1.0241610738255034,1.0,joe,phase1
