,model,rank,prompt_type,complexity,avg_f1_score,top_3
0,mistral_7b,1,cot,3,0.83532,✅
1,mistral_7b,2,vanilla,1,0.8313399999999999,✅
2,mistral_7b,3,cot_knowledge,5,0.6715047619047618,✅
3,mistral_7b,4,cot_knowledge_few_shot,6,0.6668333333333335,
4,mistral_7b,5,few_shot,4,0.6634333333333334,
5,mistral_7b,6,knowledge_infused,2,0.6507380952380953,
6,mistral_24b,1,vanilla,1,0.8198733333333333,✅
7,mistral_24b,2,cot,3,0.8153333333333334,✅
8,mistral_24b,3,few_shot,4,0.6702666666666666,✅
9,mistral_24b,4,cot_knowledge_few_shot,6,0.6650238095238095,
10,mistral_24b,5,knowledge_infused,2,0.6645285714285716,
11,mistral_24b,6,cot_knowledge,5,0.6632285714285715,
12,phi,1,vanilla,1,0.8220533333333335,✅
13,phi,2,cot,3,0.7982333333333334,✅
14,phi,3,knowledge_infused,2,0.6599,✅
15,phi,4,cot_knowledge_few_shot,6,0.649595238095238,
16,phi,5,cot_knowledge,5,0.6486571428571429,
17,phi,6,few_shot,4,0.6393523809523809,
18,llama3_8b,1,vanilla,1,0.79034,✅
19,llama3_8b,2,cot,3,0.77964,✅
20,llama3_8b,3,knowledge_infused,2,0.644047619047619,✅
21,llama3_8b,4,cot_knowledge,5,0.6342857142857143,
22,llama3_8b,5,few_shot,4,0.6206333333333334,
23,llama3_8b,6,cot_knowledge_few_shot,6,0.6090571428571427,
